Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","496","Mongolia","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2020","2020","million USD","1.424601","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1992","1992","million USD","4.239933","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1992","1992","million USD","4.947662","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1993","1993","million USD","4.817873","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1993","1993","million USD","5.907542","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1994","1994","million USD","7.128335","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1994","1994","million USD","8.517628","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1995","1995","million USD","13.559338","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1995","1995","million USD","13.927784","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1996","1996","million USD","1","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1996","1996","million USD","1.037722","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1997","1997","million USD","3","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1997","1997","million USD","3.337539","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","9","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1998","1998","million USD","10.057754","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","2","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","1999","1999","million USD","2.263158","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","2.409276","X","Figure from international organizations","Data source: UNCTAD"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6184","Value US$, 2015 prices","23080","FDI inflows to Agriculture, Forestry and Fishing","2000","2000","million USD","2.972605","X","Figure from international organizations","Data Source: FAO"
"FDI","Foreign Direct Investment (FDI)","504","Morocco","6110","Value US$","23080","FDI inflows to Agriculture, Forestry and Fishing","2001","2001","million USD","6.14881","X","Figure from international organizations","Data source: UNCTAD"
